,total_h2_sold_per_station,prioritize,profitability threshold,longitude,latitude,station_location,size_station,cumulative_demand,property,nearby_total_station,new_h2_demand,new_profitability_threshold,new_profitability
396,na,na,na,-1.0247208,45.6468499,na,na,na,total,na,na,na,na
401,na,na,na,6.7264719,48.5494237,na,na,na,total,na,na,na,na
402,na,na,na,7.778676699999999,48.8202419,na,na,na,total,na,na,na,na
405,na,na,na,0.7856689,43.10522,na,na,na,total,na,na,na,na
406,na,na,na,7.7399173,48.8151367,na,na,na,total,na,na,na,na
408,na,na,na,5.984113799999999,47.2440734,na,na,na,total,na,na,na,na
410,na,na,na,6.439513700000001,48.1919306,na,na,na,total,na,na,na,na
414,na,na,na,-0.7525795,48.0811994,na,na,na,total,na,na,na,na
415,na,na,na,6.754982,43.437813,na,na,na,total,na,na,na,na
417,na,na,na,1.4513895,49.1115024,na,na,na,total,na,na,na,na
423,na,na,na,0.09690259999999999,48.299224,na,na,na,total,na,na,na,na
433,na,na,na,2.213749,46.227638,na,na,na,total,na,na,na,na
438,na,na,na,4.8399156,48.9182563,na,na,na,total,na,na,na,na
441,na,na,na,-0.5729498,47.4590727,na,na,na,total,na,na,na,na
443,na,na,na,4.3293228,43.8101671,na,na,na,total,na,na,na,na
445,na,na,na,2.0357943,45.3966882,na,na,na,total,na,na,na,na
446,na,na,na,6.057349299999999,44.5410908,na,na,na,total,na,na,na,na
450,na,na,na,-2.4451375,48.4226444,na,na,na,total,na,na,na,na
452,na,na,na,5.2324421,47.2332451,na,na,na,total,na,na,na,na
463,na,na,na,-0.2756401,47.1964319,na,na,na,total,na,na,na,na
467,na,na,na,2.18884,43.776621,na,na,na,total,na,na,na,na
468,na,na,na,-2.6369853,47.8384799,na,na,na,total,na,na,na,na
469,na,na,na,5.876002199999999,46.9474794,na,na,na,total,na,na,na,na
474,na,na,na,0.6622703,44.1859389,na,na,na,total,na,na,na,na
475,na,na,na,3.2220163,43.3546182,na,na,na,total,na,na,na,na
478,na,na,na,2.9557295,43.4206683,na,na,na,total,na,na,na,na
479,na,na,na,1.1829291,43.5181624,na,na,na,total,na,na,na,na
481,na,na,na,4.833495999999999,44.867648,na,na,na,total,na,na,na,na
486,na,na,na,2.0290756,48.5304391,na,na,na,total,na,na,na,na
487,na,na,na,4.5776519,49.478191,na,na,na,total,na,na,na,na
488,na,na,na,-0.7864355,43.4897104,na,na,na,total,na,na,na,na
489,na,na,na,4.7890497,45.7214462,na,na,na,total,na,na,na,na
492,na,na,na,6.8173583,47.9516791,na,na,na,total,na,na,na,na
499,na,na,na,8.761602700000001,41.9697511,na,na,na,total,na,na,na,na
500,na,na,na,-4.0899155,47.9999962,na,na,na,total,na,na,na,na
521,na,na,na,4.5899711,48.7345686,na,na,na,total,na,na,na,na
522,na,na,na,-4.471039999999999,48.41611,na,na,na,total,na,na,na,na
526,na,na,na,4.3079133,46.9532163,na,na,na,total,na,na,na,na
534,na,na,na,1.4689427,43.3532688,na,na,na,total,na,na,na,na
537,na,na,na,1.6082479,50.060969,na,na,na,total,na,na,na,na
541,na,na,na,-0.2315568,44.440827,na,na,na,total,na,na,na,na
542,na,na,na,1.0761867,49.9084442,na,na,na,total,na,na,na,na
544,na,na,na,0.8479926,49.1225908,na,na,na,total,na,na,na,na
545,na,na,na,6.1619477,47.1946114,na,na,na,total,na,na,na,na
547,na,na,na,-0.768326,48.0684111,na,na,na,total,na,na,na,na
553,na,na,na,-0.4444353,43.7907899,na,na,na,total,na,na,na,na
556,na,na,na,-0.69521,44.8610473,na,na,na,total,na,na,na,na
558,na,na,na,2.8046948,49.0335367,na,na,na,total,na,na,na,na
561,na,na,na,6.8596292,47.6262461,na,na,na,total,na,na,na,na
565,na,na,na,2.2745439,49.8589941,na,na,na,total,na,na,na,na
566,na,na,na,3.251648,45.5359108,na,na,na,total,na,na,na,na
568,na,na,na,-2.5092127,48.4758867,na,na,na,total,na,na,na,na
569,na,na,na,3.739829499999999,45.5516551,na,na,na,total,na,na,na,na
573,na,na,na,-1.032999,43.327408,na,na,na,total,na,na,na,na
575,na,na,na,4.3703588,47.6197377,na,na,na,total,na,na,na,na
576,na,na,na,7.6111994,48.5804532,na,na,na,total,na,na,na,na
577,na,na,na,1.7444118,47.3531951,na,na,na,total,na,na,na,na
578,na,na,na,4.7422002,45.3094251,na,na,na,total,na,na,na,na
580,na,na,na,-0.5908561999999999,43.6591349,na,na,na,total,na,na,na,na
581,na,na,na,4.5127057,44.5700087,na,na,na,total,na,na,na,na
583,na,na,na,0.7265364,47.40408799999999,na,na,na,total,na,na,na,na
584,na,na,na,4.8171872,47.0146925,na,na,na,total,na,na,na,na
585,na,na,na,4.4294064,48.4284336,na,na,na,total,na,na,na,na
586,na,na,na,-3.9189422,47.8728294,na,na,na,total,na,na,na,na
588,na,na,na,1.8241966,48.9565922,na,na,na,total,na,na,na,na
589,na,na,na,5.0006223,43.8105479,na,na,na,total,na,na,na,na
590,na,na,na,0.7401945,47.3811024,na,na,na,total,na,na,na,na
594,na,na,na,-2.9625658,48.0573215,na,na,na,total,na,na,na,na
596,na,na,na,-2.283582,48.083875,na,na,na,total,na,na,na,na
599,na,na,na,4.0523084,46.5967518,na,na,na,total,na,na,na,na
605,na,na,na,0.1609266,48.0157803,na,na,na,total,na,na,na,na
606,na,na,na,4.0216708,48.2413016,na,na,na,total,na,na,na,na
608,na,na,na,1.152883,44.065848,na,na,na,total,na,na,na,na
613,na,na,na,-1.6857871,48.149558,na,na,na,total,na,na,na,na
614,na,na,na,6.073739799999999,44.55945,na,na,na,total,na,na,na,na
615,na,na,na,1.9142162,48.9920299,na,na,na,total,na,na,na,na
616,na,na,na,0.5760694,43.6175923,na,na,na,total,na,na,na,na
622,na,na,na,1.3148436,47.6043605,na,na,na,total,na,na,na,na
625,na,na,na,3.8352668,43.57771229999999,na,na,na,total,na,na,na,na
627,na,na,na,-2.093225,47.387127,na,na,na,total,na,na,na,na
628,na,na,na,5.2438864,46.1888139,na,na,na,total,na,na,na,na
631,na,na,na,6.829504,47.7344028,na,na,na,total,na,na,na,na
634,na,na,na,5.878219,43.102976,na,na,na,total,na,na,na,na
635,na,na,na,4.860048000000001,45.6929278,na,na,na,total,na,na,na,na
637,na,na,na,5.479871,43.326181,na,na,na,total,na,na,na,na
639,na,na,na,4.989962999999999,46.833579,na,na,na,total,na,na,na,na
652,na,na,na,2.1044814,48.8761145,na,na,na,total,na,na,na,na
657,na,na,na,1.4801273,44.1159847,na,na,na,total,na,na,na,na
663,na,na,na,-4.0842534,47.9925836,na,na,na,total,na,na,na,na
664,na,na,na,1.9911349,48.7841763,na,na,na,total,na,na,na,na
667,na,na,na,5.172237200000001,48.7693239,na,na,na,total,na,na,na,na
669,na,na,na,4.223236500000001,45.7436262,na,na,na,total,na,na,na,na
673,na,na,na,7.1155074,47.6311908,na,na,na,total,na,na,na,na
681,na,na,na,1.4103515,43.7249433,na,na,na,total,na,na,na,na
682,na,na,na,6.1598392,49.3513247,na,na,na,total,na,na,na,na
683,na,na,na,-0.3783115,43.3186376,na,na,na,total,na,na,na,na
684,na,na,na,0.8644276,45.2297278,na,na,na,total,na,na,na,na
685,na,na,na,5.967785999999999,45.56873400000001,na,na,na,total,na,na,na,na
690,na,na,na,0.6597362,43.8392716,na,na,na,total,na,na,na,na
694,na,na,na,6.1694391,48.7050036,na,na,na,total,na,na,na,na
696,na,na,na,5.049972599999999,43.9211046,na,na,na,total,na,na,na,na
699,na,na,na,6.169026,49.2430874,na,na,na,total,na,na,na,na
701,na,na,na,1.243156,45.8217094,na,na,na,total,na,na,na,na
707,na,na,na,4.840497,45.05723769999999,na,na,na,total,na,na,na,na
709,na,na,na,-0.2643473,44.55205309999999,na,na,na,total,na,na,na,na
712,na,na,na,6.0046881,45.8188848,na,na,na,total,na,na,na,na
713,na,na,na,2.1991236,48.86822100000001,na,na,na,total,na,na,na,na
714,na,na,na,0.4135674,43.5167699,na,na,na,total,na,na,na,na
715,na,na,na,4.1184562,46.4460676,na,na,na,total,na,na,na,na
717,na,na,na,-2.967056,48.066152,na,na,na,total,na,na,na,na
718,na,na,na,6.7073293,49.1145644,na,na,na,total,na,na,na,na
723,na,na,na,4.5710499,47.8534983,na,na,na,total,na,na,na,na
725,na,na,na,2.0484544,48.7977783,na,na,na,total,na,na,na,na
734,na,na,na,5.8868678,48.6728348,na,na,na,total,na,na,na,na
737,na,na,na,0.920906,43.4763376,na,na,na,total,na,na,na,na
744,na,na,na,2.9197735,49.7597236,na,na,na,total,na,na,na,na
748,na,na,na,-1.6374496,47.2144746,na,na,na,total,na,na,na,na
759,na,na,na,4.6491757,44.2581619,na,na,na,total,na,na,na,na
761,na,na,na,6.8713622,47.6342807,na,na,na,total,na,na,na,na
762,na,na,na,2.3017254,48.73925269999999,na,na,na,total,na,na,na,na
763,na,na,na,2.5492497,48.9844585,na,na,na,total,na,na,na,na
772,na,na,na,-0.7751523,48.0597012,na,na,na,total,na,na,na,na
779,na,na,na,-1.474841,43.492949,na,na,na,total,na,na,na,na
783,na,na,na,1.6660945,47.3380895,na,na,na,total,na,na,na,na
785,na,na,na,0.551215,44.219249,na,na,na,total,na,na,na,na
786,na,na,na,2.8023384,46.1844309,na,na,na,total,na,na,na,na
787,na,na,na,4.1475445,49.128754,na,na,na,total,na,na,na,na
789,na,na,na,3.6693102,47.7900798,na,na,na,total,na,na,na,na
790,na,na,na,6.2576296,44.5514373,na,na,na,total,na,na,na,na
793,na,na,na,2.7233253,44.2838213,na,na,na,total,na,na,na,na
794,na,na,na,-1.6148931,47.5630076,na,na,na,total,na,na,na,na
797,na,na,na,5.9875408,43.4222448,na,na,na,total,na,na,na,na
800,na,na,na,2.970345,42.9955331,na,na,na,total,na,na,na,na
802,na,na,na,2.751247,43.1998459,na,na,na,total,na,na,na,na
803,na,na,na,-0.9866682,44.880687,na,na,na,total,na,na,na,na
805,na,na,na,2.7013566,44.0900281,na,na,na,total,na,na,na,na
806,na,na,na,1.4168725,43.5150718,na,na,na,total,na,na,na,na
808,na,na,na,1.147434,49.31923399999999,na,na,na,total,na,na,na,na
811,na,na,na,2.4441231,48.5945981,na,na,na,total,na,na,na,na
813,na,na,na,-0.1068823,47.539021,na,na,na,total,na,na,na,na
816,na,na,na,5.3425756,43.3498318,na,na,na,total,na,na,na,na
817,na,na,na,0.3287789,46.6051096,na,na,na,total,na,na,na,na
822,na,na,na,1.685595,50.7925317,na,na,na,total,na,na,na,na
824,na,na,na,2.89344,48.01341499999999,na,na,na,total,na,na,na,na
829,na,na,na,-1.4429583,48.5802218,na,na,na,total,na,na,na,na
830,na,na,na,2.442325,48.9827387,na,na,na,total,na,na,na,na
831,na,na,na,3.183556,46.733498,na,na,na,total,na,na,na,na
832,na,na,na,1.8301497,48.5461461,na,na,na,total,na,na,na,na
833,na,na,na,4.8556221,43.9696275,na,na,na,total,na,na,na,na
835,na,na,na,2.6660586,48.9522237,na,na,na,total,na,na,na,na
838,na,na,na,-1.5980916,43.4217694,na,na,na,total,na,na,na,na
841,na,na,na,4.2409954,48.2141269,na,na,na,total,na,na,na,na
853,na,na,na,2.5189824,48.8544023,na,na,na,total,na,na,na,na
854,na,na,na,-1.9441247,48.1392894,na,na,na,total,na,na,na,na
858,na,na,na,0.5297252,46.80682909999999,na,na,na,total,na,na,na,na
860,na,na,na,0.8074219,45.1381615,na,na,na,total,na,na,na,na
864,na,na,na,2.4855139,49.2501673,na,na,na,total,na,na,na,na
877,na,na,na,1.16979,49.2100141,na,na,na,total,na,na,na,na
879,na,na,na,5.2366907,43.3939266,na,na,na,total,na,na,na,na
882,na,na,na,2.3913708,48.9338743,na,na,na,total,na,na,na,na
884,na,na,na,-2.5904269,48.4767983,na,na,na,total,na,na,na,na
887,na,na,na,-3.4092021,48.5492772,na,na,na,total,na,na,na,na
888,na,na,na,5.3900288,43.50473909999999,na,na,na,total,na,na,na,na
890,na,na,na,2.7623893,48.0535305,na,na,na,total,na,na,na,na
891,na,na,na,5.26961,43.72078,na,na,na,total,na,na,na,na
892,na,na,na,5.802294,43.198331,na,na,na,total,na,na,na,na
893,na,na,na,1.273773,49.480412,na,na,na,total,na,na,na,na
894,na,na,na,-0.649051,45.8070695,na,na,na,total,na,na,na,na
897,na,na,na,-1.7723171,47.2695013,na,na,na,total,na,na,na,na
901,na,na,na,2.4438132,48.9543768,na,na,na,total,na,na,na,na
905,na,na,na,-1.7184956,47.2134809,na,na,na,total,na,na,na,na
906,na,na,na,-4.2585727,48.4445099,na,na,na,total,na,na,na,na
910,na,na,na,3.2920727,44.5632994,na,na,na,total,na,na,na,na
911,na,na,na,2.018903,48.957651,na,na,na,total,na,na,na,na
916,na,na,na,3.0817644,44.1099916,na,na,na,total,na,na,na,na
920,na,na,na,2.6200215,48.84098059999999,na,na,na,total,na,na,na,na
921,na,na,na,1.0105192,44.7714687,na,na,na,total,na,na,na,na
923,na,na,na,4.642068699999999,43.701124,na,na,na,total,na,na,na,na
928,na,na,na,2.5150231,48.5434566,na,na,na,total,na,na,na,na
938,na,na,na,-0.7001708999999999,49.270863,na,na,na,total,na,na,na,na
939,na,na,na,3.0074056,49.40363019999999,na,na,na,total,na,na,na,na
940,na,na,na,0.07264799999999999,48.022896,na,na,na,total,na,na,na,na
942,na,na,na,-2.1299439,47.7715409,na,na,na,total,na,na,na,na
946,na,na,na,-1.6136181,48.1139021,na,na,na,total,na,na,na,na
947,na,na,na,0.1389333,44.4617475,na,na,na,total,na,na,na,na
954,na,na,na,0.5951689,47.1131514,na,na,na,total,na,na,na,na
955,na,na,na,3.5282231,47.8807248,na,na,na,total,na,na,na,na
958,na,na,na,-1.8460417,47.9276126,na,na,na,total,na,na,na,na
968,na,na,na,-1.0333098,48.9371895,na,na,na,total,na,na,na,na
971,na,na,na,-3.1755566,48.2268189,na,na,na,total,na,na,na,na
972,na,na,na,1.3660087,44.0257049,na,na,na,total,na,na,na,na
1,976.78628886874,1.0,0.97678628886874,-0.2734496792394273,45.24043326446728,road,small,0.8776634088459595,ours,1.0,976.78628886874,0.97678628886874,profitable
2,917.8053469550974,1.0,0.9178053469550974,2.1194176536925013,47.20800802246639,road,small,0.9485667036857968,ours,1.0,917.8053469550974,0.9178053469550974,profitable
3,917.8053469550974,1.0,0.9178053469550974,3.160583961957347,45.8433306210893,road,small,0.965759657765264,ours,1.0,917.8053469550974,0.9178053469550974,profitable
