,Identifiant aire logistique dense (e1),Région d'implantation,Numéro aires dans région,Communes concernées par l'aire logistique,Nombre d'EPL de plus de  5 000 m2,Surface totale,P_Transport_et_entreposage,P_commerce,P_industrie,P_autres,Eff_com_entreposage,EFF_EPL_5000,Poids de l'entreposage,Chargement,Déchargement,commune_clean,location,latitude,longitude
0,1,52,3,"Saint-Nazaire, Montoir-de-Bretagne, Trignac",10 - 19,155000,0.6,0.1,0.3,0,1800,300,0.04525297072154845,30,30,Saint-Nazaire,"(47.2733517, -2.2138905)",47.2733517,-2.2138905
1,11,52,19,Saint-Sylvain-d'Anjou,3 - 9,50000,0.3333333333333333,0.6666666666666666,0,0,NC,NC,NC,NC,NC,Saint-Sylvain-d'Anjou,"(47.5129785, -0.47799013176375205)",47.5129785,-0.47799013176375205
2,12,24,4,"Parçay-Meslay, Tours",3 - 9,142000,0.4444444444444444,0.3333333333333333,0.2222222222222222,0,NC,NC,NC,NC,NC,Parçay-Meslay,"(47.4413885, 0.7456752)",47.4413885,0.7456752
3,16,52,20,Seiches-sur-le-Loir,3 - 9,36000,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,NC,NC,NC,NC,NC,Seiches-sur-le-Loir,"(47.5765866, -0.3619433)",47.5765866,-0.3619433
4,20,52,2,"Saint-Barthélemy-d'Anjou, Angers, Écouflant",10 - 19,247000,0.5294117647058824,0.35294117647058826,0.058823529411764705,0.058823529411764705,1900,300,0.02260195778376934,30,30,Saint-Barthélemy-d'Anjou,"(47.4683081, -0.4932941)",47.4683081,-0.4932941
5,23,28,7,"Rogerville, Oudalle, Gonfreville-l'Orcher",3 - 9,166000,1,0,0,0,NC,NC,NC,NC,NC,Rogerville,"(49.5032616, 0.2631791)",49.5032616,0.2631791
6,25,11,25,"Poincy, Meaux",3 - 9,59000,0.75,0.25,0,0,NC,NC,NC,NC,NC,Poincy,"(48.9692581, 2.9349893)",48.9692581,2.9349893
7,28,32,19,"Dunkerque, Coudekerque-Branche",3 - 9,144000,0.16666666666666666,0.5,0.3333333333333333,0,NC,NC,NC,NC,NC,Dunkerque,"(51.0347708, 2.3772525)",51.0347708,2.3772525
8,31,24,17,Châteauneuf-sur-Loire,3 - 9,49000,0.25,0.25,0.5,0,NC,NC,NC,NC,NC,Châteauneuf-sur-Loire,"(47.8642836, 2.2283459)",47.8642836,2.2283459
9,40,11,11,"Bussy-Saint-Georges, Ferrières-en-Brie",10 - 19,446000,0.5333333333333333,0.4,0,0.06666666666666667,1400,900,0.13611544461778471,10,10,Bussy-Saint-Georges,"(48.8430257, 2.6973858)",48.8430257,2.6973858
10,46,44,31,"Algolsheim, Neuf-Brisach, Volgelsheim",3 - 9,57000,0.3333333333333333,0,0.3333333333333333,0.3333333333333333,NC,NC,NC,NC,NC,Algolsheim,"(48.0052375, 7.5606558)",48.0052375,7.5606558
11,54,75,9,"Agen, Pont-du-Casse",3 - 9,63000,0.5,0.5,0,0,NC,NC,NC,NC,NC,Agen,"(44.2015827, 0.6176112)",44.2015827,0.6176112
12,61,75,10,Brive-la-Gaillarde,3 - 9,54000,0.25,0.5,0.25,0,NC,NC,NC,NC,NC,Brive-la-Gaillarde,"(45.1584982, 1.5332389)",45.1584982,1.5332389
13,68,44,6,"Saint-Martin-sur-le-Pré, Recy, Châlons-en-Champagne",3 - 9,523000,0.3333333333333333,0.2222222222222222,0.4444444444444444,0,NC,NC,NC,NC,NC,Saint-Martin-sur-le-Pré,"(48.977621, 4.3366642)",48.977621,4.3366642
14,69,11,15,"Ris-Orangis, Fleury-Mérogis, Grigny",3 - 9,116000,0.25,0.625,0,0.125,NC,NC,NC,NC,NC,Ris-Orangis,"(48.6538754, 2.4151151)",48.6538754,2.4151151
15,81,53,3,Loudéac,3 - 9,63000,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,NC,NC,NC,NC,NC,Loudéac,"(48.1762534, -2.7535644)",48.1762534,-2.7535644
16,94,44,32,"Épernay, Magenta",3 - 9,38000,0,0.3333333333333333,0.6666666666666666,0,NC,NC,NC,NC,NC,Épernay,"(49.042561, 3.9528655)",49.042561,3.9528655
17,102,84,34,"Bonneville, Ayse",3 - 9,48000,0,0.6666666666666666,0.3333333333333333,0,NC,NC,NC,NC,NC,Bonneville,"(50.082567, 2.2486687)",50.082567,2.2486687
18,103,24,23,"Déols, Diors, Étrechet",3 - 9,24000,0.3333333333333333,0,0.6666666666666666,0,NC,NC,NC,NC,NC,Déols,"(46.8267767, 1.7010433)",46.8267767,1.7010433
19,105,84,1,"Saint-Quentin-Fallavier, Satolas-et-Bonce, La Verpillière",50 - 59,1347000,0.6296296296296297,0.2962962962962963,0.018518518518518517,0.05555555555555555,3200,2300,0.21994761510890543,10,10,Saint-Quentin-Fallavier,"(45.6314982, 5.1106322)",45.6314982,5.1106322
20,106,44,8,"Reims, Bétheny",3 - 9,137000,0.7142857142857143,0,0.2857142857142857,0,NC,NC,NC,NC,NC,Reims,"(49.2577886, 4.031926)",49.2577886,4.031926
21,125,76,10,Vendargues,3 - 9,98000,0,0.75,0,0.25,NC,NC,NC,NC,NC,Vendargues,"(43.6568263, 3.9687448)",43.6568263,3.9687448
22,128,75,19,Langon,3 - 9,89000,0,1,0,0,NC,NC,NC,NC,NC,Langon,"(44.5530659, -0.2449274)",44.5530659,-0.2449274
23,139,93,5,"Marignane, Vitrolles, Châteauneuf-les-Martigues, Saint-Victoret",10 - 19,218000,0.6,0.3,0.1,0,2500,400,0.04745120333522835,40,40,Marignane,"(43.4162729, 5.2146275)",43.4162729,5.2146275
24,143,93,8,"Carros, Le Broc",3 - 9,49000,0.16666666666666666,0.5,0.3333333333333333,0,NC,NC,NC,NC,NC,Carros,"(43.7846, 7.18785)",43.7846,7.18785
25,157,76,2,"Colomiers, Plaisance-du-Touch, Tournefeuille",10 - 19,185000,0.18181818181818182,0.36363636363636365,0.2727272727272727,0.18181818181818182,1600,600,0.056147512627136235,20,20,Colomiers,"(43.6121001, 1.3282149)",43.6121001,1.3282149
26,173,11,10,"Croissy-Beaubourg, Lognes, Émerainville, Pontault-Combault, Roissy-en-Brie",10 - 19,242000,0.4375,0.375,0.125,0.0625,1800,700,0.05537969820830388,10,10,Croissy-Beaubourg,"(48.8278734, 2.6584023)",48.8278734,2.6584023
27,176,24,11,"Vernouillet, Dreux, Garnay",3 - 9,103000,0.2,0.2,0.2,0.4,NC,NC,NC,NC,NC,Vernouillet,"(48.7166545, 1.3650922)",48.7166545,1.3650922
28,177,28,15,"Déville-lès-Rouen, Notre-Dame-de-Bondeville",3 - 9,23000,0,0,1,0,NC,NC,NC,NC,NC,Déville-lès-Rouen,"(49.4695338, 1.0495889)",49.4695338,1.0495889
29,180,53,1,"Rennes, Saint-Jacques-de-la-Lande, Vezin-le-Coquet, Le Rheu",3 - 9,81000,0.125,0.5,0.375,0,NC,NC,NC,NC,NC,Rennes,"(48.1113387, -1.6800198)",48.1113387,-1.6800198
30,183,27,2,"Crissey, Chalon-sur-Saône, Fragnes, Virey-le-Grand",10 - 19,259000,0.4,0.1,0.4,0.1,700,200,0.025437907604056408,30,30,Crissey,"(46.8157, 4.8862)",46.8157,4.8862
31,184,93,14,Orange,3 - 9,60000,0.3333333333333333,0,0.6666666666666666,0,NC,NC,NC,NC,NC,Orange,"(33.7500378, -117.8704931)",33.7500378,-117.8704931
32,193,24,24,"Pocé-sur-Cisse, Nazelles-Négron",3 - 9,31000,0,0,0.6666666666666666,0.3333333333333333,NC,NC,NC,NC,NC,Pocé-sur-Cisse,"(47.4432628, 0.991226)",47.4432628,0.991226
33,200,76,5,"Toulouse, Portet-sur-Garonne",3 - 9,45000,0.3333333333333333,0.5,0.16666666666666666,0,NC,NC,NC,NC,NC,Toulouse,"(43.6044622, 1.4442469)",43.6044622,1.4442469
34,205,24,5,"Saint-Cyr-en-Val, Ardon, Orléans",3 - 9,186000,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.14285714285714285,NC,NC,NC,NC,NC,Saint-Cyr-en-Val,"(47.8320024, 1.9682549)",47.8320024,1.9682549
35,206,24,18,"Épernon, Droue-sur-Drouette",3 - 9,42000,0.25,0,0.75,0,NC,NC,NC,NC,NC,Épernon,"(48.6101745, 1.677222)",48.6101745,1.677222
36,228,32,36,Roye,3 - 9,124000,0.25,0,0.75,0,NC,NC,NC,NC,NC,Roye,"(49.6986186, 2.7930755)",49.6986186,2.7930755
37,233,53,12,"Sainte-Marie, Redon",3 - 9,50000,0.3333333333333333,0.6666666666666666,0,0,NC,NC,NC,NC,NC,Sainte-Marie,"(47.5091856, 6.6967773)",47.5091856,6.6967773
38,237,76,13,"Muret, Roques, Seysses",3 - 9,48000,0,0,0.3333333333333333,0.6666666666666666,NC,NC,NC,NC,NC,Muret,"(43.4599858, 1.3262332)",43.4599858,1.3262332
39,239,44,33,"Ungersheim, Ensisheim",3 - 9,22000,0.3333333333333333,0,0.6666666666666666,0,NC,NC,NC,NC,NC,Ungersheim,"(47.8775506, 7.3065723)",47.8775506,7.3065723
40,242,84,35,"Balan, Béligneux, Bressolles",3 - 9,30000,0,0.6666666666666666,0.3333333333333333,0,NC,NC,NC,NC,NC,Balan,"(45.8333789, 5.0969884)",45.8333789,5.0969884
41,261,32,43,"Labourse, Noeux-les-Mines",3 - 9,33000,0,0.3333333333333333,0.6666666666666666,0,NC,NC,NC,NC,NC,Labourse,"(50.4972978, 2.679865)",50.4972978,2.679865
42,263,32,5,"Prouvy, Rouvignies, Denain, Douchy-les-Mines, Wavrechain-sous-Denain",10 - 19,273000,0.4,0.2,0.3,0.1,900,500,0.07312536985374926,10,10,Prouvy,"(50.3185654, 3.4496843)",50.3185654,3.4496843
43,267,44,15,Atton,3 - 9,69000,0.4,0.6,0,0,NC,NC,NC,NC,NC,Atton,"(48.8911882, 6.0924226)",48.8911882,6.0924226
44,268,32,44,Chaulnes,3 - 9,56000,0.3333333333333333,0.3333333333333333,0,0.3333333333333333,NC,NC,NC,NC,NC,Chaulnes,"(49.8185412, 2.7993371)",49.8185412,2.7993371
45,272,28,11,"Lillebonne, Notre-Dame-de-Gravenchon",3 - 9,114000,0.5,0,0.5,0,NC,NC,NC,NC,NC,Lillebonne,"(49.5188282, 0.534411)",49.5188282,0.534411
46,286,32,45,"Laon, Athies-sous-Laon",3 - 9,54000,0.6666666666666666,0.3333333333333333,0,0,NC,NC,NC,NC,NC,Laon,"(49.564665, 3.620686)",49.564665,3.620686
47,294,44,18,"Custines, Frouard",3 - 9,76000,0.25,0,0.75,0,NC,NC,NC,NC,NC,Custines,"(48.791174, 6.1422309)",48.791174,6.1422309
48,303,93,9,Monteux,3 - 9,103000,0.4,0,0.6,0,NC,NC,NC,NC,NC,Monteux,"(44.0349281, 4.9968733)",44.0349281,4.9968733
49,304,93,10,Rognac,3 - 9,71000,0.6,0.4,0,0,NC,NC,NC,NC,NC,Rognac,"(43.4872341, 5.2342903)",43.4872341,5.2342903
50,308,32,20,"Monchy-le-Preux, Wancourt",3 - 9,70000,0.6666666666666666,0.16666666666666666,0.16666666666666666,0,NC,NC,NC,NC,NC,Monchy-le-Preux,"(50.2706461, 2.8939069)",50.2706461,2.8939069
51,310,53,13,Fougères,3 - 9,72000,0.6666666666666666,0,0.3333333333333333,0,NC,NC,NC,NC,NC,Fougères,"(48.3503362, -1.1958526)",48.3503362,-1.1958526
52,314,32,37,Harnes,3 - 9,106000,0.5,0.25,0.25,0,NC,NC,NC,NC,NC,Harnes,"(50.44741, 2.9068246)",50.44741,2.9068246
53,317,32,16,Amiens,3 - 9,140000,0,0.7142857142857143,0.2857142857142857,0,NC,NC,NC,NC,NC,Amiens,"(49.8941708, 2.2956951)",49.8941708,2.2956951
54,319,11,16,"Villabé, Lisses, Évry",3 - 9,251000,0.5,0.25,0.125,0.125,NC,NC,NC,NC,NC,Villabé,"(48.5885996, 2.4544951)",48.5885996,2.4544951
55,333,11,32,Les Mureaux,3 - 9,85000,0.6666666666666666,0,0,0.3333333333333333,NC,NC,NC,NC,NC,Les Mureaux,"(48.9931578, 1.909928)",48.9931578,1.909928
56,336,32,46,Ribécourt-Dreslincourt,3 - 9,53000,0,0.3333333333333333,0.6666666666666666,0,NC,NC,NC,NC,NC,Ribécourt-Dreslincourt,"(49.5107071, 2.9231228)",49.5107071,2.9231228
57,339,32,47,Halluin,3 - 9,45000,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,NC,NC,NC,NC,NC,Halluin,"(50.7826693, 3.1249234)",50.7826693,3.1249234
58,341,84,17,"Rumilly 74150, Marigny-Saint-Marcel",3 - 9,136000,0.2,0.2,0.6,0,NC,NC,NC,NC,NC,Rumilly 74150,"(45.8672156, 5.9425679)",45.8672156,5.9425679
59,365,32,13,"Villeneuve-Saint-Germain, Soissons, Bucy-le-Long, Crouy, Cuffies",3 - 9,160000,0.375,0.125,0.25,0.25,NC,NC,NC,NC,NC,Villeneuve-Saint-Germain,"(49.38, 3.3594444)",49.38,3.3594444
60,367,84,36,Saint-Pierre-de-Chandieu,3 - 9,31000,0.6666666666666666,0,0.3333333333333333,0,NC,NC,NC,NC,NC,Saint-Pierre-de-Chandieu,"(45.6446435, 5.0100345)",45.6446435,5.0100345
61,368,11,18,Savigny-le-Temple,3 - 9,232000,0.5,0.3333333333333333,0.16666666666666666,0,NC,NC,NC,NC,NC,Savigny-le-Temple,"(48.5958681, 2.5798953)",48.5958681,2.5798953
62,373,75,20,Prahecq,3 - 9,81000,0.6666666666666666,0.3333333333333333,0,0,NC,NC,NC,NC,NC,Prahecq,"(46.2595794, -0.3466615)",46.2595794,-0.3466615
63,374,11,7,"Combs-la-Ville, Moissy-Cramayel, Lieusaint, Tigery",20 - 29,575000,0.68,0.24,0,0.08,2500,1500,0.12804970450068193,20,20,Combs-la-Ville,"(48.6646994, 2.564877)",48.6646994,2.564877
64,381,76,8,"Toulouse, Colomiers, Cornebarrieu",3 - 9,131000,0.8,0.2,0,0,NC,NC,NC,NC,NC,Toulouse,"(43.6044622, 1.4442469)",43.6044622,1.4442469
65,384,44,9,Colmar,3 - 9,145000,0.14285714285714285,0.42857142857142855,0.42857142857142855,0,NC,NC,NC,NC,NC,Colmar,"(48.0777517, 7.3579641)",48.0777517,7.3579641
66,386,32,17,"Beauvais, Allonne",3 - 9,87000,0.2857142857142857,0.2857142857142857,0.42857142857142855,0,NC,NC,NC,NC,NC,Beauvais,"(49.4300997, 2.0823355)",49.4300997,2.0823355
67,391,32,2,"Roncq, Neuville-en-Ferrain, Bondues, La Madeleine, Marcq-en-Baroeul, Mouvaux, Tourcoing, Marquette-lez-Lille, Saint-André-lez-Lille, Wambrechies, Wasquehal",20 - 29,320000,0.32142857142857145,0.2857142857142857,0.35714285714285715,0.03571428571428571,3100,900,0.0333157230805723,20,20,Roncq,"(50.7531232, 3.1209016)",50.7531232,3.1209016
68,398,44,1,"Reims, Saint-Brice-Courcelles, Tinqueux, Taissy",10 - 19,380000,0.3157894736842105,0.5263157894736842,0.10526315789473684,0.05263157894736842,1900,400,0.023026433772102867,30,30,Reims,"(49.2577886, 4.031926)",49.2577886,4.031926
69,412,32,48,Saint-Amand-les-Eaux,3 - 9,23000,0,0.3333333333333333,0.6666666666666666,0,NC,NC,NC,NC,NC,Saint-Amand-les-Eaux,"(50.4491519, 3.4281142)",50.4491519,3.4281142
70,422,84,7,"Andrézieux-Bouthéon, Veauche, La Fouillouse, Saint-Bonnet-les-Oules",10 - 19,295000,0.45454545454545453,0.09090909090909091,0.45454545454545453,0,900,500,0.06512984307735037,10,10,Andrézieux-Bouthéon,"(45.5250887, 4.2594811)",45.5250887,4.2594811
71,433,44,10,"Ottmarsheim, Hombourg",3 - 9,137000,0.42857142857142855,0.42857142857142855,0.14285714285714285,0,NC,NC,NC,NC,NC,Ottmarsheim,"(47.7888815, 7.5094906)",47.7888815,7.5094906
72,436,53,2,"Châteaubourg, Brécé, Noyal-sur-Vilaine, Servon-sur-Vilaine",3 - 9,74000,0.42857142857142855,0.2857142857142857,0.2857142857142857,0,NC,NC,NC,NC,NC,Châteaubourg,"(48.1108554, -1.3982411)",48.1108554,-1.3982411
73,446,11,33,Tournan-en-Brie,3 - 9,76000,0,0.6666666666666666,0.3333333333333333,0,NC,NC,NC,NC,NC,Tournan-en-Brie,"(48.7403305, 2.7645642)",48.7403305,2.7645642
74,453,32,49,"Épaux-Bézu, Château-Thierry",3 - 9,162000,0.6666666666666666,0,0.3333333333333333,0,NC,NC,NC,NC,NC,Épaux-Bézu,"(49.1091667, 3.3483333)",49.1091667,3.3483333
75,459,27,10,"Avallon, Étaule",3 - 9,69000,0,0.6666666666666666,0.3333333333333333,0,NC,NC,NC,NC,NC,Avallon,"(47.4885365, 3.9070658)",47.4885365,3.9070658
76,470,11,12,"Brétigny-sur-Orge, Saint-Germain-lès-Arpajon, Marolles-en-Hurepoix",10 - 19,292000,0.5454545454545454,0.2727272727272727,0,0.18181818181818182,1200,700,0.10696629213483146,10,10,Brétigny-sur-Orge,"(48.6099887, 2.3075288)",48.6099887,2.3075288
77,476,44,16,Gondreville,3 - 9,66000,0.2,0.6,0,0.2,NC,NC,NC,NC,NC,Gondreville,"(49.2162403, 2.9549603)",49.2162403,2.9549603
78,479,53,14,Liffré,3 - 9,43000,0,0.3333333333333333,0.6666666666666666,0,NC,NC,NC,NC,NC,Liffré,"(48.2145992, -1.5059748)",48.2145992,-1.5059748
79,492,93,4,Saint-Martin-de-Crau,10 - 19,287000,0.45454545454545453,0.36363636363636365,0.09090909090909091,0.09090909090909091,1000,500,0.22675631810804545,10,10,Saint-Martin-de-Crau,"(43.6384838, 4.8111564)",43.6384838,4.8111564
80,493,44,19,"Éloyes, Saint-Nabord",3 - 9,58000,0,0,0.75,0.25,NC,NC,NC,NC,NC,Éloyes,"(48.0926885, 6.6112215)",48.0926885,6.6112215
81,495,32,14,Loon-Plage,3 - 9,389000,0.875,0.125,0,0,NC,NC,NC,NC,NC,Loon-Plage,"(50.9946103, 2.2192457)",50.9946103,2.2192457
82,496,84,37,"Genay, Neuville-sur-Saône",3 - 9,51000,0.3333333333333333,0,0.6666666666666666,0,NC,NC,NC,NC,NC,Genay,"(47.52545, 4.29711)",47.52545,4.29711
83,499,53,15,Lanester,3 - 9,20000,0.3333333333333333,0.3333333333333333,0,0.3333333333333333,NC,NC,NC,NC,NC,Lanester,"(47.7639726, -3.3444489)",47.7639726,-3.3444489
84,502,32,21,Lille,3 - 9,96000,0.3333333333333333,0.5,0.16666666666666666,0,NC,NC,NC,NC,NC,Lille,"(50.6365654, 3.0635282)",50.6365654,3.0635282
85,519,32,6,"Lauwin-Planque, Flers-en-Escrebieux, Cuincy, Auby",10 - 19,366000,0.4,0.3,0.2,0.1,1000,600,0.08531229668184775,10,10,Lauwin-Planque,"(50.3906656, 3.0462262)",50.3906656,3.0462262
86,520,32,50,"Valenciennes, Trith-Saint-Léger",3 - 9,75000,0.6666666666666666,0,0.3333333333333333,0,NC,NC,NC,NC,NC,Valenciennes,"(50.3579317, 3.5234846)",50.3579317,3.5234846
87,523,75,21,"Thouars, Louzy",3 - 9,55000,0.3333333333333333,0,0.6666666666666666,0,NC,NC,NC,NC,NC,Thouars,"(46.983202750000004, -0.2057893552874009)",46.983202750000004,-0.2057893552874009
88,524,11,2,"Vitry-sur-Seine, Bonneuil-sur-Marne, Alfortville, Créteil, Paris, Ivry-sur-Seine, Limeil-Brévannes, Sucy-en-Brie, Villeneuve-Saint-Georges, Rosny-sous-Bois, Boissy-Saint-Léger, Valenton, Villejuif",30 - 39,677000,0.3333333333333333,0.5,0.1111111111111111,0.05555555555555555,5100,1100,0.02457168511554485,50,50,Vitry-sur-Seine,"(48.7876, 2.39164)",48.7876,2.39164
89,536,28,2,"Val-de-Reuil, Louviers, Le Vaudreuil, Heudebouville, Incarville, Vironvay",10 - 19,241000,0.38461538461538464,0.15384615384615385,0.38461538461538464,0.07692307692307693,1200,600,0.06413350449293967,10,10,Val-de-Reuil,"(49.2716839, 1.2128992)",49.2716839,1.2128992
90,537,44,20,"Golbey, Chavelot",3 - 9,66000,0.5,0,0.5,0,NC,NC,NC,NC,NC,Golbey,"(48.1955731, 6.4364631)",48.1955731,6.4364631
