,R̩gion d'implantation,centroid,centroid_coord,h2_kg_demand,stations_type
0,11,0,[48.63998052  2.33504338],2849.2799999999997,large
1,11,1,[48.91043035  2.05240985],2544.6400000000003,large
2,11,2,[48.62134434  2.5682382 ],4264.96,large
3,11,3,[48.79826625  2.3399464 ],11648.0,large
4,11,4,[49.03804535  2.58290125],3781.12,large
5,11,5,[48.7932696  2.7217718],2544.64,large
6,11,6,[49.9905624  2.8478956],465.91999999999996,small
7,11,7,[49.1573165  2.3301301],555.52,small
8,11,8,[45.18516  1.19692],537.5999999999999,small
9,24,0,[47.4413885  0.7456752],448.0,small
10,24,1,[48.5802573  1.4266178],1093.12,medium
11,24,2,[47.88095413  1.87278783],3727.3599999999997,large
12,24,3,[46.95077215  2.0381103 ],788.48,small
13,24,4,[47.64802515  1.42001725],734.72,small
14,24,5,[48.0217518   2.73815803],430.08000000000004,small
15,27,0,[46.55968415  4.8592133 ],1379.8400000000001,medium
16,27,1,[47.29090545  5.0978508 ],1003.52,medium
17,27,2,[47.2380222  6.0243622],394.24,small
18,28,0,[49.1771038 -0.3202231],519.6800000000001,small
19,28,1,[49.50110296  0.27469962],4963.84,large
20,28,2,[49.2721432   1.12658455],2670.08,large
21,32,0,[50.5670051   3.06762595],2544.64,large
22,32,1,[50.35282115  3.5254037 ],1971.2000000000003,medium
23,32,2,[50.6540895  3.1839429],1308.16,medium
24,32,3,[50.63083547  2.81573357],1182.72,medium
25,32,4,[50.7259985  1.6118771],376.32,small
26,32,5,[50.45129778  2.94316682],2508.8,large
27,32,6,[50.7396639  2.3062068],1039.3600000000001,medium
28,32,7,[50.2954202  3.914409 ],913.9200000000001,small
29,32,8,[49.825      3.2705556],591.36,small
30,32,9,[51.01469055  2.2982491 ],1702.4,medium
31,32,10,[49.8941708  2.2956951],448.0,small
32,32,11,[49.24335523  2.60376573],3064.32,large
33,32,12,[49.24458335  3.35388885],1021.44,medium
34,32,13,[50.7383135  3.1407365],1648.6399999999999,medium
35,32,14,[50.36393745  3.034328  ],1523.1999999999998,medium
36,32,15,[50.1970157  3.2209687],412.16,small
37,32,16,[49.6986186  2.7930755],394.24,small
38,44,0,[49.18860195  6.1858609 ],1684.48,medium
39,44,1,[47.9333166   7.43372735],896.0,small
40,44,2,[49.07445955  4.16499655],3906.56,large
41,44,3,[48.2971626  4.0746257],680.96,small
42,44,4,[49.1706321  5.348031 ],358.4,small
43,44,5,[48.6217058  6.1609279],340.48,small
44,44,6,[48.5825202  7.6917206],2920.9599999999996,large
45,52,0,[47.2733517 -2.2138905],501.76,small
46,52,1,[48.3304943  1.6561556],430.08000000000004,small
47,52,2,[48.0073849  0.1967849],430.08000000000004,small
48,52,3,[47.20982075 -1.56336125],1738.2399999999998,medium
49,52,4,[47.2650187 -0.6867145],1576.96,medium
50,52,5,[46.6923549  -1.37015155],645.12,small
51,53,0,[48.0245814 -1.7471629],322.56,small
52,75,0,[44.85559557 -0.58041977],1541.12,medium
53,75,1,[45.8354243  1.2644847],537.5999999999999,small
54,76,0,[43.66635743  1.37718367],1935.36,medium
55,84,0,[45.8672156  5.9425679],430.08000000000004,small
56,84,1,[45.7774551  3.0819427],985.5999999999999,small
57,84,2,[45.6990112   5.12137662],6594.56,large
58,84,3,[44.7248402   4.69401488],3763.2,large
59,84,4,[45.63952185  4.83040015],1648.6399999999999,medium
60,84,5,[45.5250887  4.2594811],931.8399999999999,small
61,84,6,[46.0558222   4.73222455],698.88,small
62,93,0,[43.5382183   4.99796416],4139.5199999999995,large
63,93,1,[44.01462903  4.93221217],1128.96,medium
